Acid,Base,AcidName,BaseName,AcidStrength,BaseStrength,Reaction
HI,NH4OH,Hydroiodic acid,Ammonium hydroxide,Strong,Weak,HI + NH4OH → Salt + H₂O
CH3COOH,Zn(OH)2,Acetic acid,Zinc hydroxide,Weak,Weak,CH3COOH + Zn(OH)2 → Salt + H₂O
HI,Ba(OH)2,Hydroiodic acid,Barium hydroxide,Strong,Strong,HI + Ba(OH)2 → Salt + H₂O
H2SO4,LiOH,Sulfuric acid,Lithium hydroxide,Strong,Strong,H2SO4 + LiOH → Salt + H₂O
HCl,NH4OH,Hydrochloric acid,Ammonium hydroxide,Strong,Weak,HCl + NH4OH → Salt + H₂O
HBr,Mg(OH)2,Hydrobromic acid,Magnesium hydroxide,Strong,Weak,HBr + Mg(OH)2 → Salt + H₂O
HI,Mg(OH)2,Hydroiodic acid,Magnesium hydroxide,Strong,Weak,HI + Mg(OH)2 → Salt + H₂O
HCl,Ca(OH)2,Hydrochloric acid,Calcium hydroxide,Strong,Strong,HCl + Ca(OH)2 → Salt + H₂O
H3PO4,NH4OH,Phosphoric acid,Ammonium hydroxide,Weak,Weak,H3PO4 + NH4OH → Salt + H₂O
HNO3,KOH,Nitric acid,Potassium hydroxide,Strong,Strong,HNO3 + KOH → Salt + H₂O
HBr,NaOH,Hydrobromic acid,Sodium hydroxide,Strong,Strong,HBr + NaOH → Salt + H₂O
HClO4,Mg(OH)2,Perchloric acid,Magnesium hydroxide,Strong,Weak,HClO4 + Mg(OH)2 → Salt + H₂O
H2SO4,Zn(OH)2,Sulfuric acid,Zinc hydroxide,Strong,Weak,H2SO4 + Zn(OH)2 → Salt + H₂O
HNO3,Al(OH)3,Nitric acid,Aluminum hydroxide,Strong,Weak,HNO3 + Al(OH)3 → Salt + H₂O
HClO4,KOH,Perchloric acid,Potassium hydroxide,Strong,Strong,HClO4 + KOH → Salt + H₂O
H2CO3,LiOH,Carbonic acid,Lithium hydroxide,Weak,Strong,H2CO3 + LiOH → Salt + H₂O
H2CO3,Sr(OH)2,Carbonic acid,Strontium hydroxide,Weak,Strong,H2CO3 + Sr(OH)2 → Salt + H₂O
H2CO3,KOH,Carbonic acid,Potassium hydroxide,Weak,Strong,H2CO3 + KOH → Salt + H₂O
HNO3,Al(OH)3,Nitric acid,Aluminum hydroxide,Strong,Weak,HNO3 + Al(OH)3 → Salt + H₂O
CH3COOH,Sr(OH)2,Acetic acid,Strontium hydroxide,Weak,Strong,CH3COOH + Sr(OH)2 → Salt + H₂O
